"fsm_parent_id","description","state_id","province_id","distrito_id","id","country_id","name","code","create_uid","create_date","write_uid","write_date","state_id-2","province_id-2"
"state_pe_07","Provincia","base.state_pe_07","odoope_toponyms.state_pe_0701",NULL,1452,173,"Prov. Const. del Callao","0701",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1152,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0801",NULL,1453,173,"Cusco","0801",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0802",NULL,1454,173,"Acomayo","0802",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0803",NULL,1455,173,"Anta","0803",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0804",NULL,1456,173,"Calca","0804",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0805",NULL,1457,173,"Canas","0805",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0806",NULL,1458,173,"Canchis","0806",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0807",NULL,1459,173,"Chumbivilcas","0807",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0808",NULL,1460,173,"Espinar","0808",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0809",NULL,1461,173,"La Convención","0809",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0810",NULL,1462,173,"Paruro","0810",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0811",NULL,1463,173,"Paucartambo","0811",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0812",NULL,1464,173,"Quispicanchi","0812",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_08","Provincia","base.state_pe_08","odoope_toponyms.state_pe_0813",NULL,1465,173,"Urubamba","0813",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1153,NULL
"state_pe_09","Provincia","base.state_pe_09","odoope_toponyms.state_pe_0901",NULL,1466,173,"Huancavelica","0901",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1154,NULL
"state_pe_09","Provincia","base.state_pe_09","odoope_toponyms.state_pe_0902",NULL,1467,173,"Acobamba","0902",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1154,NULL
"state_pe_09","Provincia","base.state_pe_09","odoope_toponyms.state_pe_0903",NULL,1468,173,"Angaraes","0903",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1154,NULL
"state_pe_09","Provincia","base.state_pe_09","odoope_toponyms.state_pe_0904",NULL,1469,173,"Castrovirreyna","0904",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1154,NULL
"state_pe_09","Provincia","base.state_pe_09","odoope_toponyms.state_pe_0905",NULL,1470,173,"Churcampa","0905",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1154,NULL
"state_pe_09","Provincia","base.state_pe_09","odoope_toponyms.state_pe_0906",NULL,1471,173,"Huaytará","0906",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1154,NULL
"state_pe_09","Provincia","base.state_pe_09","odoope_toponyms.state_pe_0907",NULL,1472,173,"Tayacaja","0907",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1154,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1001",NULL,1473,173,"Huánuco","1001",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1002",NULL,1474,173,"Ambo","1002",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1003",NULL,1475,173,"Dos de Mayo","1003",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1004",NULL,1476,173,"Huacaybamba","1004",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1005",NULL,1477,173,"Huamalíes","1005",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1006",NULL,1478,173,"Leoncio Prado","1006",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1007",NULL,1479,173,"Marañón","1007",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1008",NULL,1480,173,"Pachitea","1008",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1009",NULL,1481,173,"Puerto Inca","1009",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1010",NULL,1482,173,"Lauricocha ","1010",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_10","Provincia","base.state_pe_10","odoope_toponyms.state_pe_1011",NULL,1483,173,"Yarowilca ","1011",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1155,NULL
"state_pe_11","Provincia","base.state_pe_11","odoope_toponyms.state_pe_1101",NULL,1484,173,"Ica ","1101",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1156,NULL
"state_pe_11","Provincia","base.state_pe_11","odoope_toponyms.state_pe_1102",NULL,1485,173,"Chincha ","1102",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1156,NULL
"state_pe_11","Provincia","base.state_pe_11","odoope_toponyms.state_pe_1103",NULL,1486,173,"Nasca ","1103",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1156,NULL
"state_pe_11","Provincia","base.state_pe_11","odoope_toponyms.state_pe_1104",NULL,1487,173,"Palpa ","1104",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1156,NULL
"state_pe_11","Provincia","base.state_pe_11","odoope_toponyms.state_pe_1105",NULL,1488,173,"Pisco ","1105",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1156,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1201",NULL,1489,173,"Huancayo ","1201",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1202",NULL,1490,173,"Concepción ","1202",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1203",NULL,1491,173,"Chanchamayo ","1203",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1204",NULL,1492,173,"Jauja ","1204",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1205",NULL,1493,173,"Junín ","1205",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1206",NULL,1494,173,"Satipo ","1206",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1207",NULL,1495,173,"Tarma ","1207",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
"state_pe_12","Provincia","base.state_pe_12","odoope_toponyms.state_pe_1208",NULL,1496,173,"Yauli ","1208",1,"2022-02-14 17:25:58.79839",1,"2022-02-14 17:25:58.79839",1157,NULL
